COD_CHAVE;DESCRITOR;RESUMOS
18516;Mucosa Bucal;PI0214, PN0232, PN0871, PN1442, PN1459
18523;Mucosite;FC020, AO0112, PI0026, PI0068, PI0367, PI0785, PN0272, PN0546, PN0869, PN1759
30304;Muflas para Micro-ondas;PI0622
18564;Músculo Esquelético;PI0159, PN0526
18568;Músculo Masséter;HA008, PN0845
18571;Músculos;PI0023
18578;Músculos Mastigatórios;PI0762, PN0262, PN0707, PN0838, PN0937
18587;Música;PI0083, PN1393
18590;Mutação;PI0672
18718;Naftoquinonas;PN1610
18735;Nanocápsulas;PN1070
30188;Nanofibras;PN0449
18741;Nanopartículas;AO0179, PI0050, PN0038, PN0044, PN0146, PN0191, PN0493, PN0755, PN0857, PN1019, PN1026, PN1116, PN1289, PN1323, PN1559
18742;Nanopartículas Metálicas;PI0040, PN0056, PN0448, PN1079, PN1108
18744;Nanotecnologia;AO0170, PI0710, PI0718, PN0117, PN0448, PN1184, PN1382, PN1671, PN1715
18745;Nanotubos;HA012
18750;Não-Disjunção Genética;PN1040
18763;Nariz;PN0685
18768;Nascimento Prematuro;PI0136, PN0978
18771;Nasofaringe;PN0679
18780;National Center for Health Care Technology (U.S.);PE005
18858;Necrose da Polpa Dentária;AO0124, PN0061
18932;Neoplasias;PI0398, PN0657
18936;Neoplasias Bucais;PI0525, PI0828, PI0829, PN0265, PN0277, PN0578, PN0921, PN1442, PN1445, PN1769
18967;Neoplasias das Glândulas Salivares;PI0220, PN0247
18974;Neoplasias de Cabeça e Pescoço;PI0315, PI0515, PI0673, PI0680, PN0272, PN0586, PN1740, PN1754
19000;Neoplasias do Seio Maxilar;PN0520
19030;Neoplasias Hematológicas;PN1009
19047;Neoplasias Maxilomandibulares;PN1726
19056;Neoplasias Orofaríngeas;PI0377
19103;Neovascularização Patológica;PN0252
19126;Nervo Mandibular;PN0563, PN1438
19165;Neurilemoma;PN1424
19193;Neurofibroma;PN1424
19195;Neurofibromatose 1;PN1447
19258;Neutralização;PN1077
19261;Neutrófilos;AO0100
19303;Nicotina;PI0911, PN0281, PN1545
19326;Nióbio;PN0358
19341;Nitrato de Prata;PN1066
30326;Nonsyndromic cleft lip with or without palate;PI0364
19487;Notificação;PN1802
19489;Notificação de Abuso;PI0237, PI0848
30240;Núcleos metálicos fundidos;PI0469
19593;Nutrição da Criança;PI0090
19627;Obesidade;AO0055, AO0087, PI0057, PI0463, PN0382, PN0930, PN0931, PN0933, PN1182, PN1212, PN1716
19628;Obesidade Mórbida;AO0053, PI0851, PN0926, PN1210, PN1222
30140;obesidade pediatrica;COL015
19651;Obstrução das Vias Respiratórias;PI0155, PN1676
19657;Obstrução Nasal;PN1023
19663;Obturação do Canal Radicular;PI0034, PI0333, PI0590, PI0647, PI0715, PN0033, PN0047, PN0048, PN0661, PN1276, PN1290, PN1293, PN1366, PN1571, PN1585, PN1590, PN1658, PN1688
19665;Obturadores Palatinos;PN0520
19696;Oclusão Dentária;PN0211, PN0762, PN0784, PN1346, PN1389
19699;Oclusão Dentária Traumática;PN0223
19718;Odontalgia;PI0436, PN0362, PN1006, PN1705
19719;Odontoblastos;AO0172, PI0562, PN0341
19721;Odontogênese;PI0306, PN0004, PN0235, PN1036
19723;Odontologia;AO0043, AO0120, AO0214, PO016, PE002, PI0005, PI0058, PI0237, PI0286, PI0289, PI0358, PI0432, PI0507, PI0510, PI0551, PI0555, PI0670, PI0699, PI0705, PN0585, PN0737, PN0906, PN0907, PN1214, PN1240, PN1516, PN1520, PN1655, PN1807, PN1811, PN1830, PN1850
19725;Odontologia do Trabalho;PO012, PN1219
19726;Odontologia em Saúde Pública;PO016, PI0394, PI0548, PN0645, PN1504
19728;Odontologia Geral;PE010, PN0517
19729;Odontologia Geriátrica;PI0253, PN0924, PN0948
19730;Odontologia Legal;AO0183, PE013, PI0011, PI0087, PI0249, PI0309, PI0310, PI0311, PI0541, PI0543, PI0694, PI0848, PN0098, PN0255, PN0572, PN0582, PN0631, PN0914, PN1218, PN1434, PN1518, PN1728
19732;Odontologia Preventiva;AO0169, PI0298, PI0447, PN1308
19733;Odontólogos;PI0146, PN1215
19735;Odontometria;PI0011, PI0131, PI0791, PN0331, PN0375, PN0914, PN1570
19737;Odontopediatria;AO0003, AO0020, PI0098, PI0135, PI0251, PI0291, PI0293, PI0298, PI0415, PI0434, PI0442, PI0592, PI0700, PI0740, PI0751, PI0752, PI0893, PI0896, PI0897, PN0080, PN0657, PN0728, PN0730, PN0958, PN0980, PN1006, PN1331, PN1367, PN1386, PN1652, PN1655, PN1692, PN1697, COL003, COL010
30321;Oils, Volatile;PN1616
30327;Óleos Voláteis;PN1612
19784;Olho Artificial;PI0016, PI0018, PI0020, PI0201, PN0840
19828;Oncologia;PI0524, PN1238, PN1445
19920;Organização Mundial da Saúde;PN0960
20001;Orofaringe;PI0829, PN0257, PN0679, PN0684
20016;Ortodontia;AO0009, AO0017, PE003, PI0142, PI0150, PI0303, PI0455, PI0456, PI0567, PI0567, PI0599, PI0600, PI0745, PI0756, PI0757, PI0904, PI0907, PI0908, PI0909, PN0007, PN0111, PN0614, PN0632, PN0641, PN0642, PN0644, PN0646, PN0659, PN0663, PN0665, PN0671, PN0674, PN0681, PN0682, PN0687, PN0690, PN0692, PN0693, PN0694, PN0696, PN0698, PN0701, PN0707, PN0708, PN0711, PN0714, PN0722, PN0952, PN0959, PN0969, PN0970, PN0972, PN0973, PN0974, PN0979, PN0987, PN0990, PN1002, PN1011, PN1039, PN1118, PN1125, PN1136, PN1336, PN1338, PN1341, PN1358, PN1361, PN1374, PN1387, PN1388, PN1394, PN1398, PN1406, PN1412, PN1641, PN1642, PN1645, PN1646, PN1648, PN1650, PN1654, PN1659, PN1660, PN1663, PN1681, PN1686, PN1700, PN1704, PN1717, PN1724, COL013
20017;Ortodontia Corretiva;FC014, AO0012, PI0453, PI0608, PN0653, PN0953, PN0995, PN1037, PN1193, PN1360, PN1678, PN1680, PN1714
20018;Ortodontia Interceptora;PN1666, PN1714
20019;Ortodontia Preventiva;PN1503
20037;Osseointegração;AO0133, AO0134, AO0140, AO0173, PI0003, PI0006, PI0025, PI0174, PI0175, PI0178, PI0308, PI0481, PI0629, PI0764, PI0766, PN0281, PN0607, PN0621, PN0622, PN1206, PN1527, PN1545, PN1552, PN1837, PN1854
29909;Osso alveolar;FC011, AO0113, AO0153, PI0002, PN0646
20041;Osso e Ossos;AO0086, AO0115, PI0023, PN0009, PN0276, PN0304, PN0547, PN0873, PN1405
20046;Osso Hióide;AO0157, PN0557
20063;Ossos Faciais;AO0154, PI0464
20076;Osteoblastos;AO0150, PI0763, PN0282, PN0293, PN0619, PN1537
20077;Osteocalcina;PI0466, PN0314, PN0889, PN1732
20078;Osteócitos;PI0079
20079;Osteoclastos;PN0066, PN0248, PN0625, PN0710, PN0712, PN0941, PN1487, PN1837
20088;Osteogênese;PN0004, PN1859
20090;Osteogênese por Distração;PN1481
20091;Osteólise;PN0939
20096;Osteomielite;PN0379
20097;Osteonecrose;PI0009, PI0024, PI0062, PI0154, PI0368, PI0761, PN0553, PN1418
20101;Osteopontina;PI0466, PN0282
20102;Osteoporose;HA023, AO0128, PI0006, PI0308, PI0501, PN0619, PN0624, PN1460, PN1468
20103;Osteoporose Pós-Menopausa;HA009, PI0351, PN1758
30096;Osteossarcoma;AO0112, PN0253
20109;Osteotomia;PI0024, PN0326, PN0656, PN0943, PN1481, PN1866
20125;Otopatias;AO0202
30266;Ovarectomia;PN1538
20138;Ovariectomia;PI0765, PI0837, PN0624
29910;Overdenture;AO0135, PI0019, PI0330, PI0633, PI0772, PN0197, PN0830, PN1176, PN1178
30118;Oxalato de potássio;PN0167
20185;Óxido de Cálcio;PI0184, PI0496, PI0639, PN0373
30331;Óxido Nítrico ;PI0473
20186;Óxido Nítrico Sintase;HA006, PI0030, PN1208
30147;Óxido Nitroso;PI0816, PN0092
20194;Oxigenação Hiperbárica;PN0014
20207;Oximetria;AO0004, PN0336
20240;Pacientes;PI0550, PN0945
20245;Pacientes Internados;PN1231
30102;Padrao facial;PN0999
20257;Pais;PI0855, PN0903, PN0904
20264;Paladar;PI0365, PI0822
20268;Palato;PN0688, PN0911, PN1356
20269;Palato Duro;PI0451, PN0871, PN1404
20347;Papila Dentária;PI0331, PN1192
20358;Papiloma;PI0823
30263;Papiloma vírus humano;AO0110, AO0125
20380;Paracoccidioidomicose;PI0375
20392;Parafusos Ósseos;PN1717
20405;Paralisia Cerebral;HA008, FC025, AO0120, PI0133, PI0395, PN0092, PN0527, PN1223, PN1239, PN1710, PN1813
20424;Parâmetros;PI0327
20472;Parestesia;PN0630
20496;Partículas;AO0190, PI0257, PI0712, PN0426
20502;Partículas Inorgânicas;PI0717, PN0735
20537;Patentes;PI0452
20545;Patologia;PN0258, PN0575
20546;Patologia Bucal;PN0195, PN0559, PN1738, PN1751, PN1765
20606;Película Dentária;PI0429
20689;Peptídeos;PI0338
20691;Peptídeos Catiônicos Antimicrobianos;PI0739, PN1204, PN1207
20694;Peptídeos e Proteínas de Sinalização Intercelular;PN0611
20712;Percepção;PI0101, PI0274, PI0299, PI0553, PN1349, PN1802, PN1825
20715;Percepção de Cores;PI0126, PI0163, PI0778, PN0113, PN0412, PN1095
20721;Percepção de Quorum;FC017, PN0072
30033;Percepção de saúde;PI0856
20727;Percepção Social;PE009, PN0537
20729;Percepção Visual;PI0599
20742;Perda Auditiva Provocada por Ruído;PN1827
20745;Perda da Inserção Periodontal;PI0831, PN0888, PN1476
20748;Perda de Dente;PO013, PI0354, PI0389, PI0554, PI0648, PI0851, PN0535, PN0926, PN0931, PN0933, PN0987, PN1210, PN1220, PN1222, PN1384, PN1385
20749;Perda de Heterozigosidade;PN1424
20751;Perda de Peso;PN0776
20754;Perda Óssea Alveolar;HA009, AO0148, PI0381, PI0528, PI0532, PI0632, PI0837, PN0309, PN0325, PN1180, PN1426, PN1856
20760;Perfil de Saúde;PI0637, PN1237, PN1765
30301;Perfil proteômico ;PN1790
29845;Peri-Implantite ;AO0133, PI0632, PN0305, PN0607, PN0613, PN1195, PN1541, PN1542, PN1843, PN1853, PN1856
20814;Período de Transmissibilidade;PN0700
20818;Período Pós-Parto;PI0438
29991;Periodontal diseases;AO0035, PI0230, PN1796
20822;Periodontia;AO0028, PI0074, PI0231, PI0385, PI0686, PI0839, PN0111, PN0880, PN0884, PN0898, PN1186, PN1200, PN1360, PN1472, PN1474, PN1760, PN1794
20823;Periodontite;HA022, FC023, PI0077, PI0078, PI0224, PI0228, PI0232, PI0382, PI0383, PI0528, PI0535, PI0676, PI0687, PI0688, PI0689, PI0833, PI0835, PI0836, PN0883, PN0885, PN0894, PN0897, PN1179, PN1187, PN1191, PN1192, PN1209, PN1316, PN1468, PN1470, PN1473, PN1772, PN1780, PN1783, PN1786, PN1793
30006;periodontite agressiva ;AO0027, AO0030, PN0571, PN0893, PN0895, PN1476, PN1477, PN1795
29918;Periodontite Crônica;AO0027, AO0033, PI0380, PI0527, PN0874, PN1182, PN1184, PN1193, PN1204, PN1462, PN1476, PN1479, PN1485, PN1486, PN1778, PN1785, PN1789
30222;Periodontite experimental;AO0034, PI0002, PI0072, PI0225, PI0229, PI0458, PI0532, PN0887, PN1296, PN1426, PN1460
20825;Periodontite Periapical;AO0059, AO0060, AO0071, AO0078, PI0030, PI0332, PI0339, PI0788, PN0061, PN0064, PN0090, PN0244, PN0344, PN0346, PN0353, PN1265, PN1458
20826;Periodonto;PI0605, PN0223, PN0765, PN0888, PN0890
20827;Periósteo;PI0075
20844;Permeabilidade da Dentina;PI0278, PN0114, PN0747, PN1080, PN1130, PN1463
20846;Permeabilidade Dentária;PN0178
30170;peróxido de carbamida;PI0102, PN0425, PN1073, PN1117
20863;Peróxido de Hidrogênio;AO0074, PI0103, PI0122, PI0267, PI0423, PI0425, PI0426, PI0728, PI0878, PI0881, PN0109, PN0151, PN0178, PN0465, PN0468, PN0473, PN0488, PN0791, PN0802, PN0807, PN0823, PN1061, PN1117, PN1123, PN1134
20864;Peróxidos;PN0488
20867;Peroxirredoxinas;HA021, PN0243
20881;Peso ao Nascer;PI0136
20888;Pesos e Medidas Corporais;PN1727
20894;Pesquisa Biomédica;PN1069
20904;Pesquisa em Odontologia;AO0169, PI0517, PI0711, PI0732, PN0067, PN1225, PN1228
20913;Pesquisa Qualitativa;PO018, PN1801
20914;Pesquisa sobre Serviços de Saúde;PN1025, PN1233
20928;Pessoas com Deficiência;PO003, PI0093, PI0236, PI0439, PN1027, PN1211, PN1494, COL007
20929;Pessoas com Deficiência Mental;PO009, PI0899
20933;Pessoas Mentalmente Doentes;PN0900
30066;Ph das bebidas;PI0046, PI0198
21035;Pigmentação;PI0423, PN0123, PN0454, PN0456, PN0473, PN0798, PN0802, PN1096, PN1121
30038;Pino de fibra;AO0080, PI0333, PI0343, PI0343, PI0576, PI0577, PI0584, PI0724, PI0738, PI0770, PI0789, PI0790, PI0796, PI0888, PN0129, PN0132, PN0135, PN0143, PN0147, PN0176, PN0229, PN0453, PN0754, PN0839, PN0849, PN1164, PN1251
21065;Pinos Dentários;PI0260, PI0271, PI0424, PI0432, PI0469, PI0582, PI0789, PN0136, PN0141, PN0153, PN0162, PN0165, PN0410, PN0436, PN0443, PN0476, PN0477, PN0491, PN0502, PN0517, PN0534, PN0538, PN0777, PN0812, PN0839, PN0849, PN1045, PN1051, PN1104, PN1140, PN1658
21187;Placa Dentária;AO0025, PI0043, PI0162, PI0498, PI0602, PN0658, PN1397
21192;Placas Oclusais;AO0207, PI0160, PI0314, PI0614, PI0616, PN0528, PN1142, PN1151, PN1756
21193;Placas Ósseas;PN0637, PN0639
21195;Placebos;PN1698
21207;Planejamento;PN1550
21219;Planejamento em Saúde;PO023
21266;Plantas Medicinais;AO0100, PI0052, PI0506, PI0661, PI0808, PI0839, PN0265, PN0556, PN1295, PN1305, PN1318, PN1607
21273;Plasma;PN0206
29888;Plasma Gases;PI0258, PN0057, PN0466
21274;Plasma Rico em Plaquetas;PI0662, PN0640
21366;Pneumoencefalografia;PI0007
21370;Pneumonia Associada à Ventilação Mecânica;AO0105, PI0048, PN1629
21457;Polícia;PI0215
21477;Polietilenotereftalatos;PI0366
29884;Polifenol;AO0181
21478;Polifosfatos;AO0002, PN0997, PN1017, COL001
21485;Poliidroxietil Metacrilato;AO0172
21489;Polimento Dentário;PI0259, PI0569, PI0874, PI0885, PN0184, PN0463, PN0510, PN0704, PN0763, PN1125, PN1150
29860;Polimerização;AO0176, AO0184, AO0187, PI0107, PI0129, PI0418, PI0732, PN0196, PN0418, PN0421, PN0434, PN0447, PN0467, PN0481, PN0497, PN0760, PN1044, PN1082, PN1099
21490;Polímeros;AO0168, PI0323, PN0118, PN1776, PN1857, PN1867, COL014
21492;Polimetil Metacrilato;PI0020, PN0206, PN0213, PN0449, PN1153
21499;Polimorfismo de Um Único Nucleotídeo;PN1430
21500;Polimorfismo Genético;AO0009, PI0536, PI0600, PI0898, PN0086, PN0270, PN0305, PN0578, PN1208, PN1383, PN1470, PN1735
21535;Polissacarídeos;PN1296
21536;Polissacarídeos Bacterianos;AO0097
21567;Políticas Públicas;PN1805
21568;Políticas Públicas de Saúde;PI0399, PI0402, PN1511, PN1768
29936;Polpa dental;HA001, PI0635, PI0787, PN0028, PN0050, PN0480, PN0982, PN1110
21579;Polpa Dentária;AO0004, AO0064, PI0827, PN0006, PN0055, PN0336, PN0348, PN1592, PN1596, PN1697
30332;Polyetheretherketone;PN1141
30337;Pontas irrigadoras;PN1588
21659;População;PN1500
21673;Populações Vulneráveis;PI0542
21677;Porcelana Dentária;PI0123, PI0128, PI0163, PI0406, PI0413, PI0475, PI0561, PI0565, PN0183, PN0189, PN0516, PN0541, PN0826, PN0853, PN0864, PN0866, PN1326
21695;Porosidade;PI0166, PN0828
21700;Porphyromonas gingivalis;PN0381, PN1263, PN1315, PN1482, PN1795
21702;Portadores de Deficiência Visual;PN0975
21723;Postura;AO0044, PN0832, PN1348
21745;Potencial zeta;AO0190, PN0426
21775;Prata;PN0152, PN0857, PN1323
21780;Prática de Saúde Pública;PI0248
21787;Prática Profissional;PE020, PN1826
21828;Pré-Escolar;AO0021, PI0056, PI0141, PI0151, PI0288, PI0435, PI0437, PI0444, PI0594, PI0889, PI0900, PI0903, PN0669, PN0726, PN0903, PN0904, PN0996, PN1003, PN1034, PN1324, PN1328, PN1340, PN1353, PN1369, PN1399, PN1679, PN1684
30195;Precisão da Medição Dimensional;PI0381, PN0460, PN0499, PN1724
21813;Preconceito;PN0910, PN1243
21849;Prematuro;PN0688
21868;Preparo da Cavidade Dentária;PN0122, PN0813
21869;Preparo de Canal Radicular;HA003, AO0064, AO0065, AO0069, PI0037, PI0180, PI0183, PI0187, PI0337, PI0339, PI0340, PI0344, PI0440, PI0485, PI0488, PI0493, PI0571, PI0636, PI0641, PI0642, PI0799, PI0800, PN0003, PN0022, PN0024, PN0025, PN0031, PN0032, PN0034, PN0039, PN0043, PN0045, PN0049, PN0058, PN0065, PN0067, PN0200, PN0331, PN0332, PN0338, PN0340, PN0343, PN0356, PN0361, PN0375, PN0436, PN0661, PN0666, PN0672, PN0672, PN0811, PN1248, PN1253, PN1255, PN1264, PN1270, PN1275, PN1283, PN1288, PN1290, PN1292, PN1556, PN1564, PN1570, PN1574, PN1575, PN1578, PN1587, PN1593, PN1594, PN1598, PN1601
21870;Preparo do Dente;PN0855
21875;Prescrição de Medicamentos;PE002, PE006, PI0058
21883;Preservação de Amostras;PN1618
21891;Pressão Arterial;PI0459, PN1781
21897;Pressão Hidrostática;AO0186
30135;pressão intrapulpar;PN0178
21911;Prevalência;PI0312, PI0392, PI0471, PI0744, PI0900, PN0726, PN0999, PN1032, PN1152, PN1265, PN1712, PN1812
21912;Prevenção de Acidentes;PO021, PI0358
21915;Prevenção de Doenças;FC020, PI0099, PI0671, COL013
21918;Prevenção Primária;PN1828
30261;Preventive Dentistry;PI0597
21921;Previdência Social;PO012
21957;Prisões;PN0908
21970;Proantocianidinas;PI0880
21974;Probióticos;AO0034, PN1313
21984;Procedimentos Cirúrgicos Ambulatórios;AO0158
22009;Procedimentos Clínicos;PI0884
22010;Procedimentos de Ancoragem Ortodôntica;AO0022, PI0021, PI0142, PN0659, PN0696, PN0720, PN0961, PN0989, PN0993, PN1008, PN1356, PN1396, PN1405, PN1673, PN1724
22018;Processamento de Imagem Assistida por Computador;AO0062
22028;Processo Alveolar;PN0663, PN0957
30364;Processo Ensino-Aprendizagem;PE019, PE023
30092;Processos mecânicos;PN0660
22091;Produtos Biológicos;PI0200, PI0204, PI0861, PN0080
22092;Produtos com Ação Antimicrobiana;PI0147, PI0204, PI0801, PN0056, PN0493, PN0519, PN1284, PN1295, PN1298, PN1607
22127;Produtos para Higiene Dental e Bucal;PN1308
22139;Profilaxia Dentária;PN1781
22149;Prognatismo;PN0623, PN1342
22150;Prognóstico;FC021, AO0111, PI0218, PN0558, PN1754
22162;Programa Nacional de Controle do Tabagismo;PN0932
22164;Programa Saúde da Família;PI0247, PI0540, PI0552, PI0854, PN0905, PN1500, PN1803
30055;Projeto Assistido por Computador;PN0855
22193;Projeto Auxiliado por Computador;PI0413, PN0189
30199;Projeto do Implante Dentário-Pivô ;AO0130, PN0521, PN1544, PN1548
22219;Proliferação de Células;AO0121, PI0820, PN1738
22231;Promoção da Saúde;PO022, PI0093, PI0100, PI0399, PN0900, PN1216, PN1784, PN1806, PN1832
30269;Promoção de saúde;PO002, PO019, PN1816, PN1823
22252;Propilenoglicol;PN0810
22265;Própole;PN0054
30016;Própolis;AO0088, PI0109, PI0200, PI0420, PI0428, PN1109, PN1273, PN1279, PN1557
22273;Propriedades de Superfície;PI0128, PI0173, PI0410, PI0766, PI0871, PI0872, PN0204, PN0208, PN0298, PN0423, PN0597, PN0731, PN0752, PN0825, PN1058, PN1103, PN1108, PN1857
22274;Propriedades Físicas;AO0180, AO0184, PI0731, PN0104, PN0118, PN0138, PN0423, PN0462, PN0501, PN0810, PN1565
22275;Propriedades Físicas e Químicas;AO0061, AO0079, PI0181, PI0564, PI0578, PI0792, PI0801, PN0038, PN0053, PN0107, PN0358, PN0373, PN0822, PN1129, PN1272, PN1277, PN1284, PN1289, PN1562, PN1591, PN1604, PN1671
22276;Propriedades Químicas;PN1715
22294;Prostaglandinas;HA021
30299;Prostheses and Implants;HA018, PN1167
30277;proteção nos esportes;PN0846
22324;Proteção Pessoal;PI0053
22364;Proteína Ácida Fibrilar da Glia;PN1294
22580;Proteínas ADAM;PN0544
22601;Proteínas Ativadoras de GTPase;FC019, PI0374
22608;Proteínas Citoesqueleto;PN1420
22626;Proteínas da Matriz Extracelular;PN0238
22733;Proteínas do Esmalte Dentário;PN0593
22792;Proteínas Morfogenéticas Ósseas;PI0763, PN1417, PN1860
22898;Proteínas Salivares;PI0513, PN1297, PN1343, PN1716
22949;Proteômica;PN0066, PN1689
22954;Prótese Dentária;AO0042, AO0046, AO0052, AO0158, AO0196, AO0205, AO0211, AO0212, PI0017, PI0026, PI0162, PI0165, PI0170, PI0171, PI0243, PI0319, PI0467, PI0474, PI0476, PI0557, PI0785, PN0140, PN0163, PN0201, PN0215, PN0227, PN0279, PN0310, PN0385, PN0482, PN0513, PN0515, PN0533, PN0602, PN0603, PN0610, PN0613, PN0835, PN0843, PN1050, PN1153, PN1154, PN1169, PN1177, PN1514, PN1534, PN1542, PN1551, PN1855, PN1858, PN1864
22955;Prótese Dentária Fixada por Implante;AO0137, AO0139, AO0205, PI0027, PI0320, PI0482, PI0634, PI0786, PN0224, PN0286, PN0288, PN0303, PN0311, PN0509, PN0521, PN0523, PN0589, PN0604, PN0616, PN0620, PN0831, PN0841, PN1167, PN1171, PN1528, PN1533, PN1540, PN1541, PN1546, PN1835, PN1836, PN1838, PN1841, PN1843, PN1855, PN1856, PN1861
22958;Prótese Maxilofacial;PI0119, PN0219, PN0512, PN0514, PN0836, PN0837
22960;Prótese Parcial;AO0206
22961;Prótese Parcial Fixa;PI0163, PI0164, PI0470, PN0216, PN0218, PN0452, PN0589, PN0831, PN0860, PN1102
22963;Prótese Parcial Removível;PI0172, PI0227, PI0472, PI0478, PI0617, PI0628, PN0124, PN0508, PN0535, PN1146, PN1168, PN1525
22966;Prótese Total;FC027, AO0138, AO0149, AO0197, AO0198, AO0207, AO0210, PI0171, PI0253, PI0330, PI0393, PI0472, PI0473, PI0621, PI0623, PI0627, PI0706, PI0772, PI0773, PI0775, PI0777, PN0087, PN0195, PN0197, PN0225, PN0507, PN0510, PN0511, PN0519, PN0522, PN0542, PN0842, PN0847, PN0851, PN0852, PN0859, PN1144, PN1149, PN1166, PN1170, PN1174, PN1818
30306;Prótese Total Fixa Inferior;PI0622, PN1865
22967;Prótese Total Imediata;PI0019, PI0317
22968;Prótese Total Inferior;PI0318
22969;Prótese Total Superior;PI0822, PN0830
22971;Próteses e Implantes;AO0041, PI0022, PI0025, PN0170, PN0209, PN0292, PN0325, PN0529, PN1159, PN1839, PN1850, PN1865
22975;Protetores Bucais;HA014, PI0579, PN0182, PN1160
22976;Protetores contra Radiação;PN0548
22988;Protocolos;PI0475
22990;Protocolos Clínicos;PN0149
23004;Prova Pericial;PN1518
23005;Provas de Rendimento;PI0244
23038;Pseudomonas aeruginosa;PN1605
23094;Psidium;PN0069
23112;Psoríase;PN0566, PN1423, PN1455
23162;Pulpectomia;PI0131, PI0590, PN0349, PN0958, PN1035, PN1337
23163;Pulpite;AO0067, AO0074, AO0075, PN0055
23164;Pulpotomia;PN0680, PN1018, PN1041
23228;Qualidade da Assistência à Saúde;PN1810
23232;Qualidade de Vida;FC014, FC027, AO0008, AO0014, AO0042, AO0054, PO014, PO020, PI0013, PI0073, PI0284, PI0296, PI0299, PI0313, PI0320, PI0399, PI0439, PI0464, PI0470, PI0472, PI0474, PI0614, PI0634, PI0701, PI0702, PI0706, PI0775, PI0889, PI0894, PN0203, PN0214, PN0225, PN0520, PN0542, PN0652, PN0657, PN0686, PN0695, PN0724, PN0730, PN0854, PN0910, PN0925, PN0977, PN0996, PN1006, PN1024, PN1029, PN1033, PN1196, PN1199, PN1213, PN1220, PN1238, PN1328, PN1353, PN1367, PN1388, PN1498, PN1531, PN1646, PN1667, PN1701, PN1729
29982;Qualidade de Vida, Saúde Bucal.;FC024, AO0021, AO0149, AO0194, PO009, PO019, PI0085, PI0145, PI0235, PI0238, PI0288, PI0300, PI0588, PI0740, PI0748, PI0903, PN0649, PN0655, PN0669, PN0692, PN0723, PN0870, PN1003, PN1034, PN1166, PN1239, PN1367, PN1384, PN1416, PN1506, PN1511
23254;Queilite;PI0070
30056;Queilite Actínica;AO0109, PI0065, PI0066, PI0520, PN0245, PN0576, PN0580
23256;Queimaduras;PI0222, PN0233, PN0273
23262;Quelantes;PI0036, PN0368
23297;Questionários;HA018, PI0015, PI0019, PI0404, PI0468, PI0475, PI0663, PI0842, PN1744
23352;Quimiocinas;PN1853
23362;Quimioterapia;FC020, PI0078, PI0524, PI0528, PI0833, PN0652, PN0912
23424;Quitosana;PI0036, PI0147, PI0345, PI0870, PN0125, PN0676, PN0743, PN0767, PN1661, PN1846
23444;Radiação Ionizante;PN0243, PN0548, PN0944
23457;Radiobiologia;PI0306
23459;Radiodermatite;PI0680
23461;Radiografia;PI0216, PN0276, PN0569, PN1758
23463;Radiografia Dentária;PI0345, PI0381, PI0644, PN0264, PN0457, PN0577, PN0901, PN0956, PN1410
23464;Radiografia Dentária Digital;PI0674, PN0365, PN0551
29880;Radiografia digital;PI0370, PI0891, PN0574, PN0965, PN1218, PN1426, PN1763, PN1848
23465;Radiografia Interproximal;PN0955, PN0984, PN1371
23467;Radiografia Panorâmica;AO0106, PE013, PI0010, PI0285, PI0371, PI0450, PI0675, PI0695, PI0910, PN0232, PN0243, PN0271, PN0642, PN1418, PN1726, PN1734, PN1739, PN1766
23510;Radiologia;PI0354, PI0370, PI0372, PI0517, PI0824, PN0020, PN0255, PN0561, PN0582, PN1441, PN1743, PN1744
23516;Radioterapia;PI0315, PI0680, PN0277, PN0514, PN0543, PN0586, PN1059, PN1131, PN1740, PN1741
23534;Raios X;PN1452, PN1749
23536;Raiz Dentária;PN0538
23542;Raloxifeno;HA023, AO0143, AO0146, PI0006
30232;RANKL;FC011, PI0029, PN1849
23577;Raspagem Dentária;PI0074
23580;Ratos;AO0034, PI0062, PI0078, PI0079, PI0081, PI0154, PI0463, PI0788, PI0833, PN0269, PN0405, PN0627, PN0868, PN0883, PN0946, PN1639
23593;Ratos Endogâmicos SHR;PI0532, PN0887
23601;Ratos Wistar;PI0021, PI0176, PI0384, PI0783, PI0911
23610;Reabilitação;PI0478
23611;Reabilitação Bucal;AO0042, PI0026, PI0706, PI0785, PI0786, PN0504, PN0620, PN1525, PN1527, PN1845, PN1858
23615;Reabsorção da Raiz;FC005, PN0345, PN0633, PN0664, PN0702, PN1407, PN1567, PN1583, PN1639, PN1689, PN1721
23616;Reabsorção de Dente;AO0009, PN1385
23618;Reabsorção Óssea;AO0130, PI0029, PN0066, PN0223, PN0293, PN0321, PN0702, PN0967, PN1523, PN1544, PN1548
23633;Reação em Cadeia da Polimerase;PN0346, PN1286, PN1440
23641;Reações Bioquímicas;PN1063
23666;Reatividade-Estabilidade;PN1620
23676;Recém-Nascido;PN1327
23704;Receptor alfa de Estrogênio;HA009
23799;Receptores Androgênicos;PN1487
23826;Receptores da Calcitonina;PI0677
23869;Receptores de Canabinóides;PN1634
23904;Receptores de Glucocorticóides;PI0379
30303;Recessão Gengival;PI0887, PN0891, PN1474, PN1779
24064;Recidiva;PI0149, PN0015
24108;Recursos Humanos em Odontologia;PE019, PI0092, PI0698, PN1495
24109;Recursos Humanos em Saúde;PI0555, PN1215
